# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
a han 	阿含	c=0 d=0.1 t=7430
a ma ni 	阿瑪尼	c=1 d=1 t=10876
a zhu 	啊豬	c=12 d=1.00023 t=11942
a zhu zhu 	啊豬豬	c=2 d=1.82696 t=1585
ai 	哎	c=1 d=0.396532 t=11992
ai 	唉	c=10 d=1.06721 t=11986
ai ni 	愛你	c=1 d=1.00058 t=4133
ai ni yo 	愛你喲	c=1 d=1 t=3104
ai yo 	哎唷	c=2 d=1.00001 t=7434
an 	俺	c=1 d=1 t=4231
an 	按	c=3 d=1.67368 t=8304
an ban 	案板	c=2 d=0.0253028 t=11992
an ge 	安個	c=9 d=1.25653 t=11865
an jing 	安靜	c=1 d=1 t=7521
an niu 	按鈕	c=11 d=3.86954 t=10627
an pai 	安排	c=1 d=1 t=8340
an quan 	安全	c=1 d=0.0323869 t=11992
an quan de hen 	安全得很	c=1 d=1 t=1748
an tiao jian 	按條件	c=1 d=1 t=5131
an wei 	安慰	c=1 d=1 t=8431
an zhao 	按照	c=1 d=0.105144 t=1854
an zhao ge shi 	按照格式	c=1 d=1 t=1855
an zhuang 	安裝	c=17 d=0.375311 t=11992
an zhuang bao jun 	安裝報峻	c=3 d=1.956 t=10742
an zhuang de 	安裝的	c=1 d=1 t=115
an zhuang le 	安装了	c=1 d=1 t=11374
an zhuang mu lu 	安裝目錄	c=1 d=1 t=57
ang 	昂	c=1 d=0.0605068 t=11992
ao 	奧	c=0 d=0.1 t=11504
ao re 	燠熱	c=0 d=0.1 t=4932
ao re le 	燠熱了	c=1 d=1 t=4933
ba 	叭	c=1 d=1 t=1956
ba 	吧	c=116 d=2.09784 t=11992
ba 	把	c=31 d=0.273995 t=11992
ba ba 	叭叭	c=1 d=1 t=10103
ba liang ge 	吧兩個	c=1 d=1 t=6524
ba ma 	爸媽	c=1 d=1 t=3514
ba na ge 	把那個	c=4 d=1 t=9046
ba ni 	把你	c=2 d=1.22537 t=4560
ba ni de 	吧妳的	c=1 d=1 t=187
ba ni de 	把你的	c=4 d=1.01002 t=1437
ba ni na ge 	吧你那個	c=1 d=1 t=6759
ba qi 	霸氣	c=1 d=1 t=10192
ba wei 	八位	c=0 d=0.1 t=7432
ba wo 	把我	c=3 d=1.0066 t=10368
ba zhe 	把這	c=0 d=0.1 t=255
ba zhe ge 	吧這格	c=1 d=1 t=147
ba zhe ge 	把這個	c=3 d=1 t=8137
bai du 	百度	c=3 d=0.0213864 t=11992
bai du wang pan 	百度網盤	c=1 d=0.0212797 t=11992
bai du yi xia 	百度一下	c=1 d=1 t=1843
bai fen bai 	百分百	c=1 d=1 t=3902
bai zai 	擺在	c=1 d=1 t=10087
ban 	半	c=0 d=0.1 t=10176
ban 	搬	c=9 d=4.44185 t=9469
ban 	班	c=0 d=0.100036 t=10633
ban ben 	板本	c=1 d=1 t=4154
ban ben 	版本	c=3 d=1 t=10008
ban dao 	搬到	c=1 d=0.332871 t=11992
ban ge 	辦個	c=1 d=1 t=4355
ban ge yue 	半個月	c=1 d=1 t=4693
ban gong 	办公	c=1 d=1 t=11922
ban gong shi 	辦公室	c=1 d=1 t=6583
ban guo lai 	班過來	c=2 d=1.85642 t=9078
ban le 	搬了	c=1 d=1 t=9136
